Date,League,Team,Opp.,Venue,Phase,Coach,Opp. coach,OT/SO,PTS,Leading%,Tied%,Trailing%,TOI,GF,GA,G±,EQ TOI,EQ GF,EQ GA,EQ G±,PP OP,PP%,PP TOI,PP GF,PP GA,PP G±,SH SI,PK%,SH TOI,SH GF,SH GA,SH G±,SH%,SV%,PDO,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,SMF,SPF,SBF,SMA,SPA,SBA,FOW,FOL,FO%,# 0',# 2',# 5',# 10',# 20',PIM,Spectators,MatchID,Outcome,Moneyline,H1-1.5,H1-2.5,H2+1.5,H2+2.5,TG,Both2Goals,OU4.5,OU5.5,OU6.5,OU7.5,Team name,Season,GP,PTS_home,PTS/GP,TOI_home,Leading%_home,Tied%_home,Trailing%_home,GF_home,GA_home,G±_home,GF_,GA_,G_±,GF_/60,GA_/60,EQ TOI_home,EQ GF_home,EQ GA_home,EQ G±_home,EQ GF/60,EQ GA/60,PP TOI_home,PP OP_home,PP%_home,PP GF_home,PP GA_home,PP G±_home,PP GF/60,SH TOI_home,SH SI_home,PK%_home,SH GF_home,SH GA_home,SH G±_home,SH GA/60,GF EN,GA EN,GF SO,GA SO,SH%_home,SV%_home,PDO_home,CF_home,CF/60,CA_home,CA/60,CF%_home,FF_home,FF/60,FA_home,FA/60,FF%_home,SF_home,SF/60,SA_home,SA/60,SF%_home,Pace/60,SMF_home,SPF_home,SBF_home,SMA_home,SPA_home,SBA_home,FOW_home,FOL_home,FO%_home,# 0'_home,# 2'_home,# 5'_home,# 10'_home,# 20'_home,PIM_home,Spect. / GP,Spect. / GP - Home,Spect. / GP - Away,Team name_away,Team_away,Season_away,GP_away,PTS_away,PTS/GP_away,TOI_away,Leading%_away,Tied%_away,Trailing%_away,GF_away,GA_away,G±_away,GF__away,GA__away,G_±_away,GF_/60_away,GA_/60_away,EQ TOI_away,EQ GF_away,EQ GA_away,EQ G±_away,EQ GF/60_away,EQ GA/60_away,PP TOI_away,PP OP_away,PP%_away,PP GF_away,PP GA_away,PP G±_away,PP GF/60_away,SH TOI_away,SH SI_away,PK%_away,SH GF_away,SH GA_away,SH G±_away,SH GA/60_away,GF EN_away,GA EN_away,GF SO_away,GA SO_away,SH%_away,SV%_away,PDO_away,CF_away,CF/60_away,CA_away,CA/60_away,CF%_away,FF_away,FF/60_away,FA_away,FA/60_away,FF%_away,SF_away,SF/60_away,SA_away,SA/60_away,SF%_away,Pace/60_away,SMF_away,SPF_away,SBF_away,SMA_away,SPA_away,SBA_away,FOW_away,FOL_away,FO%_away,# 0'_away,# 2'_away,# 5'_away,# 10'_away,# 20'_away,PIM_away,Spect. / GP_away,Spect. / GP - Home_away,Spect. / GP - Away_away,attack_strength_home,defence_strength_home,attack_strength_away,defence_strength_away,attack_strength_diff,defence_strength_diff,exp_goals_home,exp_goals_away,shots_for_diff,shots_against_diff,pp_percentage_diff,pk_percentage_diff,goals_for_diff,goals_against_diff,pts_diff,leading_diff,trailing_diff,corsi_for_diff,corsi_against_diff,eq_goals_diff,win_r5_home,draw_r5_home,lose_r5_home,scored_avg_r5_home,conceded_avg_r5_home,win_r5_away,draw_r5_away,lose_r5_away,scored_avg_r5_away,conceded_avg_r5_away,h2h_win_ratio_home,h2h_draw_ratio_home,h2h_lose_ratio_home,h2h_scored_avg_home,h2h_conceded_avg_home
2021-03-24,National League,LHC,SCLT,0,1,Craig MacTavish,Rikard Franzén,,3,34.11,65.89,0.0,60.0,2,0,2,42.0,2,0,2,5,0.0,10.0,0,0,0,4,100.0,8.0,0,0,0,2.56,100.0,102.56,65,52,55.56,50,32,60.98,40,28,58.82,10,0,15,3,1,20,29,27,51.79,0,6,0,0,0,12,0.0,20211105000196,1,1,1,0,0,1,2,0,0,0,0,0,Lausanne HC,2022/2023,52,71,1.37,3165.2,31.34,36.12,32.54,139,160,-21,128,153,-25,2.43,2.9,2585.0,105,109,-4,2.44,2.53,266.3,157,16.56,26,2,24,5.86,313.9,195,75.9,4,47,-43,8.98,7,5,4,2,7.52,90.4,97.92,3225,61.13,2888,54.75,52.76,2339,44.34,2119,40.17,52.47,1709,32.4,1598,30.29,51.68,115.88,578,52,886,489,32,769,1442,1437,50.09,3,218,7,0,5,571,6925,7099,6751,SCL Tigers,SCLT,2022/2023,52,60,1.15,3152.3,29.43,33.0,37.57,124,167,-43,119,155,-36,2.27,2.95,2578.1,95,115,-20,2.21,2.68,270.6,161,14.91,24,7,17,5.32,303.6,180,76.67,5,42,-37,8.3,5,9,0,3,9.19,91.54,100.73,2533,48.21,3363,64.01,42.96,1767,33.63,2540,48.35,41.03,1300,24.74,1842,35.06,41.37,112.22,445,22,766,661,37,823,1428,1476,49.17,2,199,6,0,5,528,5939,4991,6888,0.9127579737335835,1.050656660412758,0.8142589118198875,1.0966228893058163,0.09849906191369595,-0.045966228893058236,2.931357338721316,2.5054120363688845,7.66,-4.770000000000003,1.6499999999999986,-0.769999999999996,0.16000000000000014,-0.050000000000000266,0.2200000000000002,1.9100000000000001,-5.030000000000001,12.920000000000002,-9.260000000000005,16.0,0.2,0.4,0.4,3.4,3.0,0.2,0.2,0.6,2.0,3.2,0.8,0.0,0.2,0.4,0.2
2021-03-24,National League,ZSC,HCL,1,1,Rikard Grönborg,Serge Pelletier,,0,0.0,30.92,69.08,60.0,2,3,-1,46.9,1,2,-1,3,33.33,6.0,1,0,1,4,75.0,7.1,0,1,-1,6.45,88.89,95.34,71,45,61.21,42,32,56.76,31,27,53.45,11,0,29,5,0,13,32,36,47.06,0,4,0,0,0,8,0.0,20211105000281,-1,0,0,0,1,1,5,1,1,0,0,0,ZSC Lions,2022/2023,52,88,1.69,3160.7,34.86,38.38,26.76,150,123,27,138,121,17,2.62,2.3,2549.7,101,81,20,2.38,1.91,299.2,180,22.22,40,2,38,8.02,311.8,195,80.0,4,39,-35,7.5,7,1,5,1,8.53,92.2,100.74,3035,57.61,2898,55.01,51.15,2216,42.07,2081,39.5,51.57,1624,30.83,1553,29.48,51.12,112.63,553,39,819,497,31,817,1580,1450,52.15,1,223,4,1,2,516,9099,11459,6738,HC Lugano,HCL,2022/2023,52,72,1.38,3150.2,37.77,32.12,30.12,147,163,-16,134,150,-16,2.55,2.86,2600.1,109,110,-1,2.52,2.54,257.0,161,16.77,27,5,22,6.3,293.0,190,75.26,7,47,-40,9.62,9,12,4,1,7.7,89.9,97.6,3112,59.27,2828,53.86,52.39,2368,45.1,2095,39.9,53.06,1749,33.31,1497,28.51,53.88,113.14,587,32,744,577,21,733,1469,1423,50.8,1,216,4,0,4,532,6026,5026,7026,0.9849906191369606,0.8076923076923077,0.9652908067542215,1.0703564727954973,0.0196998123827391,-0.2626641651031896,3.0875667484485496,2.283284023668639,-2.480000000000004,0.9699999999999989,5.449999999999999,4.739999999999995,0.07000000000000028,-0.56,0.31000000000000005,-2.9100000000000037,-3.3599999999999994,-1.6600000000000037,1.1499999999999986,21.0,0.4,0.2,0.4,3.6,3.4,0.2,0.4,0.4,2.8,3.2,0.4,0.0,0.6,0.4,0.2
2021-03-24,National League,GSHC,EVZ,0,1,Patrick Emond,Dan Tangnes,,0,21.86,40.31,37.83,60.0,1,2,-1,45.6,1,0,1,6,0.0,10.2,0,0,0,4,50.0,4.2,0,2,-2,2.63,86.67,89.3,68,29,70.1,49,23,68.06,38,15,71.7,11,0,19,8,0,6,22,37,37.29,0,5,0,1,0,20,0.0,20211105000042,-1,0,0,0,1,1,3,0,0,0,0,0,Genève-Servette HC,2022/2023,52,101,1.94,3159.5,41.56,33.85,24.58,185,140,45,168,134,34,3.19,2.54,2605.5,129,97,32,2.97,2.23,258.5,167,28.14,47,4,43,10.91,295.5,178,79.21,6,37,-31,7.51,14,4,3,2,11.0,90.73,101.74,2825,53.65,2716,51.58,50.98,2093,39.75,1962,37.26,51.62,1541,29.26,1450,27.54,51.52,105.22,525,27,732,476,36,754,1456,1322,52.41,3,212,5,0,5,549,6613,6264,6962,EV Zug,EVZ,2022/2023,52,82,1.58,3159.5,28.76,33.7,37.53,165,154,11,153,143,10,2.91,2.72,2658.6,111,109,2,2.51,2.46,279.4,183,26.23,48,4,44,10.31,221.5,143,72.73,2,39,-37,10.56,8,9,4,2,9.16,89.43,98.59,3283,62.35,2569,48.79,56.1,2333,44.3,1857,35.27,55.68,1678,31.87,1362,25.86,55.2,111.13,598,57,950,462,33,712,1466,1367,51.75,0,158,2,0,2,366,6984,6975,6992,1.2148217636022514,0.9193245778611634,1.0834896810506567,1.0112570356472796,0.13133208255159468,-0.09193245778611625,3.5977413768220523,2.9170876028286914,-2.6099999999999994,1.6799999999999997,1.9100000000000001,6.47999999999999,0.2799999999999998,-0.18000000000000016,0.3599999999999999,12.8,-12.950000000000003,-8.700000000000003,2.789999999999999,30.0,0.6,0.2,0.2,3.6,1.6,0.6,0.4,0.0,5.6,2.6,0.6,0.2,0.2,0.6,0.8
2021-03-26,National League,SCB,ZSC,1,1,Mario Kogler,Rikard Grönborg,SO,1,1.23,69.95,28.82,65.0,2,3,-1,59.5,1,2,-1,2,50.0,3.5,1,0,1,1,100.0,2.0,0,0,0,8.33,93.55,101.88,55,59,48.25,38,40,48.72,24,31,43.64,13,1,17,9,0,19,24,29,45.28,0,2,0,0,0,4,0.0,20211105000001,0,0,0,0,1,1,5,1,1,0,0,0,SC Bern,2022/2023,52,74,1.42,3172.3,32.06,34.24,33.7,150,158,-8,143,142,1,2.7,2.69,2633.8,108,108,0,2.46,2.46,302.2,187,21.39,40,7,33,7.94,236.2,155,75.48,2,38,-36,9.65,7,11,0,5,8.32,90.91,99.23,3148,59.54,2987,56.5,51.31,2298,43.46,2113,39.96,52.1,1726,32.65,1574,29.77,52.3,116.04,537,35,850,502,37,874,1354,1467,48.0,1,186,5,1,4,487,10706,14750,6662,ZSC Lions,ZSC,2022/2023,52,88,1.69,3160.7,34.86,38.38,26.76,150,123,27,138,121,17,2.62,2.3,2549.7,101,81,20,2.38,1.91,299.2,180,22.22,40,2,38,8.02,311.8,195,80.0,4,39,-35,7.5,7,1,5,1,8.53,92.2,100.74,3035,57.61,2898,55.01,51.15,2216,42.07,2081,39.5,51.57,1624,30.83,1553,29.48,51.12,112.63,553,39,819,497,31,817,1580,1450,52.15,1,223,4,1,2,516,9099,11459,6738,0.9849906191369606,1.0375234521575984,0.9849906191369606,0.8076923076923077,0.0,0.22983114446529074,2.329881656804734,2.9928561119930723,1.8200000000000003,0.28999999999999915,-0.8299999999999983,-4.519999999999996,0.08000000000000007,0.3900000000000001,-0.27,-2.799999999999997,6.940000000000001,1.9299999999999997,1.490000000000002,-20.0,0.4,0.0,0.6,2.4,3.0,0.4,0.2,0.4,3.6,3.4,0.4,0.0,0.6,1.0,0.4
2021-03-26,National League,HCAP,HCL,0,1,Luca Cereda,Serge Pelletier,,0,31.89,29.31,38.81,60.0,4,6,-2,43.7,3,5,-2,5,20.0,9.9,1,0,1,4,75.0,6.4,0,1,-1,10.26,89.47,99.73,69,76,47.59,43,48,47.25,39,40,49.37,4,0,26,7,1,28,31,30,50.82,0,4,0,0,0,8,0.0,20211105000005,-1,0,0,0,1,1,10,1,1,1,1,1,HC Ambri-Piotta,2022/2023,52,66,1.27,3173.7,27.36,32.59,40.05,151,163,-12,143,152,-9,2.7,2.87,2630.1,106,122,-16,2.42,2.78,251.3,164,22.56,37,4,33,8.83,292.2,180,80.56,6,35,-29,7.19,6,9,2,2,9.24,90.83,100.08,2955,55.87,3138,59.33,48.5,2124,40.16,2319,43.84,47.81,1553,29.36,1667,31.52,48.23,115.19,537,34,831,618,34,819,1400,1667,45.65,3,218,5,0,6,581,6939,6480,7398,HC Lugano,HCL,2022/2023,52,72,1.38,3150.2,37.77,32.12,30.12,147,163,-16,134,150,-16,2.55,2.86,2600.1,109,110,-1,2.52,2.54,257.0,161,16.77,27,5,22,6.3,293.0,190,75.26,7,47,-40,9.62,9,12,4,1,7.7,89.9,97.6,3112,59.27,2828,53.86,52.39,2368,45.1,2095,39.9,53.06,1749,33.31,1497,28.51,53.88,113.14,587,32,744,577,21,733,1469,1423,50.8,1,216,4,0,4,532,6026,5026,7026,0.9915572232645403,1.0703564727954973,0.9652908067542215,1.0703564727954973,0.026266416510318802,0.0,3.10815052677154,3.0258154134795787,-3.950000000000003,3.009999999999998,5.789999999999999,5.299999999999997,0.15000000000000036,0.010000000000000231,-0.10999999999999988,-10.410000000000004,9.929999999999996,-3.4000000000000057,5.469999999999999,-15.0,0.4,0.2,0.4,2.8,3.0,0.2,0.4,0.4,2.6,3.2,0.0,0.2,0.8,0.2,0.6
2021-03-26,National League,SCLT,EVZ,1,1,Rikard Franzén,Dan Tangnes,,0,8.75,14.0,77.25,60.0,4,5,-1,48.0,3,5,-2,4,25.0,5.2,1,0,1,5,100.0,6.8,0,0,0,14.29,83.33,97.62,45,47,48.91,34,36,48.57,28,30,48.28,5,1,11,5,1,11,24,29,45.28,0,5,0,0,1,30,0.0,20211105000293,-1,0,0,0,1,1,9,1,1,1,1,1,SCL Tigers,2022/2023,52,60,1.15,3152.3,29.43,33.0,37.57,124,167,-43,119,155,-36,2.27,2.95,2578.1,95,115,-20,2.21,2.68,270.6,161,14.91,24,7,17,5.32,303.6,180,76.67,5,42,-37,8.3,5,9,0,3,9.19,91.54,100.73,2533,48.21,3363,64.01,42.96,1767,33.63,2540,48.35,41.03,1300,24.74,1842,35.06,41.37,112.22,445,22,766,661,37,823,1428,1476,49.17,2,199,6,0,5,528,5939,4991,6888,EV Zug,EVZ,2022/2023,52,82,1.58,3159.5,28.76,33.7,37.53,165,154,11,153,143,10,2.91,2.72,2658.6,111,109,2,2.51,2.46,279.4,183,26.23,48,4,44,10.31,221.5,143,72.73,2,39,-37,10.56,8,9,4,2,9.16,89.43,98.59,3283,62.35,2569,48.79,56.1,2333,44.3,1857,35.27,55.68,1678,31.87,1362,25.86,55.2,111.13,598,57,950,462,33,712,1466,1367,51.75,0,158,2,0,2,366,6984,6975,6992,0.8142589118198875,1.0966228893058163,1.0834896810506567,1.0112570356472796,-0.26923076923076916,0.08536585365853666,2.4114590850050512,3.4796687833742244,-7.130000000000003,9.200000000000003,-11.32,3.9399999999999977,-0.6400000000000001,0.22999999999999998,-0.43000000000000016,0.6699999999999982,0.03999999999999915,-14.14,15.220000000000006,-22.0,0.0,0.2,0.8,1.6,3.2,0.6,0.2,0.2,4.6,3.6,0.0,0.0,1.0,0.4,0.8
2021-03-26,National League,HCFG,LHC,1,1,Christian Dubé,Craig MacTavish,SO,2,46.54,53.46,0.0,65.0,2,1,1,56.3,0,1,-1,4,25.0,4.1,1,0,1,3,100.0,4.7,0,0,0,4.17,96.88,101.04,55,82,40.15,32,52,38.1,24,32,42.86,7,1,23,17,3,30,21,31,40.38,0,4,0,0,0,8,0.0,20211105000003,0,1,0,0,1,1,3,0,0,0,0,0,HC Fribourg-Gottéron,2022/2023,52,81,1.56,3161.8,38.38,31.6,30.02,155,136,19,145,122,23,2.75,2.32,2642.5,102,95,7,2.32,2.16,296.4,190,26.84,51,3,48,10.33,222.9,133,75.19,1,33,-32,8.88,9,9,1,5,8.78,90.7,99.48,3052,57.92,2702,51.27,53.04,2256,42.81,1874,35.56,54.62,1661,31.52,1321,25.07,55.7,109.19,549,46,796,523,30,828,1429,1380,50.87,1,149,3,0,2,353,8021,8922,7119,Lausanne HC,LHC,2022/2023,52,71,1.37,3165.2,31.34,36.12,32.54,139,160,-21,128,153,-25,2.43,2.9,2585.0,105,109,-4,2.44,2.53,266.3,157,16.56,26,2,24,5.86,313.9,195,75.9,4,47,-43,8.98,7,5,4,2,7.52,90.4,97.92,3225,61.13,2888,54.75,52.76,2339,44.34,2119,40.17,52.47,1709,32.4,1598,30.29,51.68,115.88,578,52,886,489,32,769,1442,1437,50.09,3,218,7,0,5,571,6925,7099,6751,1.0178236397748595,0.8930581613508444,0.9127579737335835,1.050656660412758,0.10506566604127598,-0.1575984990619137,3.1317650454611057,2.3872131620724493,-0.879999999999999,-5.219999999999999,10.280000000000001,-0.710000000000008,0.31999999999999984,-0.5800000000000001,0.18999999999999995,7.040000000000003,-2.5199999999999996,-3.210000000000001,-3.479999999999997,11.0,0.4,0.2,0.4,4.2,3.0,0.4,0.4,0.2,3.6,2.8,0.4,0.2,0.4,0.4,0.2
2021-03-26,National League,SCRJ,HCD,1,1,Jeff Tomlinson,Christian Wohlwend,,0,0.0,18.17,81.83,60.0,2,4,-2,50.3,2,4,-2,4,0.0,3.5,0,0,0,6,100.0,6.2,0,0,0,7.69,82.61,90.3,53,54,49.53,40,41,49.38,26,23,53.06,14,0,13,17,1,13,39,23,62.9,0,6,0,0,0,12,0.0,20211105000004,-1,0,0,0,1,1,6,1,1,1,0,0,SC Rapperswil-Jona Lakers,2022/2023,52,92,1.77,3157.9,40.84,36.34,22.82,183,133,50,169,125,44,3.21,2.37,2626.6,136,99,37,3.11,2.26,283.1,178,23.03,41,3,38,8.69,248.2,158,81.65,2,29,-27,7.01,10,6,4,2,11.37,91.26,102.64,2868,54.49,2743,52.12,51.11,2059,39.12,1942,36.9,51.46,1496,28.42,1437,27.3,51.01,106.61,526,37,809,481,24,801,1423,1317,51.93,1,174,6,0,7,518,6022,4956,7088,HC Davos,HCD,2022/2023,52,83,1.6,3199.7,28.83,36.48,34.69,149,138,11,139,126,13,2.61,2.36,2653.4,102,110,-8,2.31,2.49,266.3,164,21.95,36,2,34,8.11,280.0,155,88.39,6,18,-12,3.86,5,4,5,8,8.66,91.67,100.32,3038,56.97,2827,53.01,51.8,2271,42.59,2048,38.4,52.58,1611,30.21,1516,28.43,51.52,109.98,626,34,767,497,35,779,1464,1455,50.15,4,183,2,1,2,426,6207,4978,7436,1.201688555347092,0.873358348968105,0.9784240150093809,0.9061913696060038,0.22326454033771104,-0.032833020637898724,3.189096550728821,2.5025075768509164,-1.7899999999999991,-1.129999999999999,1.0800000000000018,-6.739999999999995,0.6000000000000001,0.010000000000000231,0.16999999999999993,12.010000000000005,-11.869999999999997,-2.479999999999997,-0.8900000000000006,45.0,0.4,0.0,0.6,3.2,3.8,0.2,0.2,0.6,1.8,4.2,0.0,0.2,0.8,0.4,0.6
2021-03-27,National League,SCB,SCLT,0,1,Mario Kogler,Rikard Franzén,,3,37.06,38.14,24.81,60.0,5,4,1,54.5,4,4,0,2,50.0,3.5,1,0,1,1,100.0,2.0,0,0,0,16.13,87.88,104.01,55,46,54.46,35,36,49.3,31,33,48.44,4,0,20,2,1,10,35,17,67.31,0,1,0,0,0,2,0.0,20211105000011,1,1,0,0,1,1,9,1,1,1,1,1,SC Bern,2022/2023,52,74,1.42,3172.3,32.06,34.24,33.7,150,158,-8,143,142,1,2.7,2.69,2633.8,108,108,0,2.46,2.46,302.2,187,21.39,40,7,33,7.94,236.2,155,75.48,2,38,-36,9.65,7,11,0,5,8.32,90.91,99.23,3148,59.54,2987,56.5,51.31,2298,43.46,2113,39.96,52.1,1726,32.65,1574,29.77,52.3,116.04,537,35,850,502,37,874,1354,1467,48.0,1,186,5,1,4,487,10706,14750,6662,SCL Tigers,SCLT,2022/2023,52,60,1.15,3152.3,29.43,33.0,37.57,124,167,-43,119,155,-36,2.27,2.95,2578.1,95,115,-20,2.21,2.68,270.6,161,14.91,24,7,17,5.32,303.6,180,76.67,5,42,-37,8.3,5,9,0,3,9.19,91.54,100.73,2533,48.21,3363,64.01,42.96,1767,33.63,2540,48.35,41.03,1300,24.74,1842,35.06,41.37,112.22,445,22,766,661,37,823,1428,1476,49.17,2,199,6,0,5,528,5939,4991,6888,0.9849906191369606,1.0375234521575984,0.8142589118198875,1.0966228893058163,0.1707317073170731,-0.05909943714821786,3.1633352576129314,2.4740943859142734,7.91,-5.290000000000003,6.48,-1.1899999999999977,0.43000000000000016,-0.26000000000000023,0.27,2.6300000000000026,-3.8699999999999974,11.329999999999998,-7.510000000000005,20.0,0.4,0.0,0.6,2.4,3.0,0.4,0.2,0.4,2.4,2.4,0.6,0.0,0.4,0.8,0.2
2021-03-27,National League,SCRJ,HCAP,0,1,Jeff Tomlinson,Luca Cereda,,3,18.83,56.61,24.56,60.0,4,2,2,48.5,2,2,0,6,33.33,8.9,2,0,2,2,100.0,2.5,0,0,0,8.57,93.33,101.9,73,52,58.4,54,40,57.45,36,30,54.55,18,0,19,9,1,12,21,36,36.84,0,2,0,0,0,4,0.0,20211105000007,1,1,1,0,0,1,6,1,1,1,0,0,SC Rapperswil-Jona Lakers,2022/2023,52,92,1.77,3157.9,40.84,36.34,22.82,183,133,50,169,125,44,3.21,2.37,2626.6,136,99,37,3.11,2.26,283.1,178,23.03,41,3,38,8.69,248.2,158,81.65,2,29,-27,7.01,10,6,4,2,11.37,91.26,102.64,2868,54.49,2743,52.12,51.11,2059,39.12,1942,36.9,51.46,1496,28.42,1437,27.3,51.01,106.61,526,37,809,481,24,801,1423,1317,51.93,1,174,6,0,7,518,6022,4956,7088,HC Ambri-Piotta,HCAP,2022/2023,52,66,1.27,3173.7,27.36,32.59,40.05,151,163,-12,143,152,-9,2.7,2.87,2630.1,106,122,-16,2.42,2.78,251.3,164,22.56,37,4,33,8.83,292.2,180,80.56,6,35,-29,7.19,6,9,2,2,9.24,90.83,100.08,2955,55.87,3138,59.33,48.5,2124,40.16,2319,43.84,47.81,1553,29.36,1667,31.52,48.23,115.19,537,34,831,618,34,819,1400,1667,45.65,3,218,5,0,6,581,6939,6480,7398,1.201688555347092,0.873358348968105,0.9915572232645403,1.0703564727954973,0.21013133208255164,-0.19699812382739224,3.7668314331072303,2.5360982825804586,-0.9399999999999977,-4.219999999999999,0.4700000000000024,1.0900000000000034,0.5099999999999998,-0.5,0.5,13.480000000000004,-17.229999999999997,-1.3799999999999955,-7.210000000000001,53.0,0.4,0.0,0.6,3.2,3.8,0.4,0.2,0.4,2.8,3.0,0.8,0.0,0.2,0.6,0.2
2021-03-27,National League,HCD,HCL,1,1,Christian Wohlwend,Serge Pelletier,SO,1,0.0,39.59,60.41,65.0,5,6,-1,53.3,3,4,-1,3,66.67,3.8,2,0,2,4,75.0,7.8,0,1,-1,13.51,86.84,100.36,69,76,47.59,51,52,49.51,37,38,49.33,13,1,18,13,1,24,35,39,47.3,0,4,0,0,0,8,0.0,20211105000008,0,0,0,0,1,1,11,1,1,1,1,1,HC Davos,2022/2023,52,83,1.6,3199.7,28.83,36.48,34.69,149,138,11,139,126,13,2.61,2.36,2653.4,102,110,-8,2.31,2.49,266.3,164,21.95,36,2,34,8.11,280.0,155,88.39,6,18,-12,3.86,5,4,5,8,8.66,91.67,100.32,3038,56.97,2827,53.01,51.8,2271,42.59,2048,38.4,52.58,1611,30.21,1516,28.43,51.52,109.98,626,34,767,497,35,779,1464,1455,50.15,4,183,2,1,2,426,6207,4978,7436,HC Lugano,HCL,2022/2023,52,72,1.38,3150.2,37.77,32.12,30.12,147,163,-16,134,150,-16,2.55,2.86,2600.1,109,110,-1,2.52,2.54,257.0,161,16.77,27,5,22,6.3,293.0,190,75.26,7,47,-40,9.62,9,12,4,1,7.7,89.9,97.6,3112,59.27,2828,53.86,52.39,2368,45.1,2095,39.9,53.06,1749,33.31,1497,28.51,53.88,113.14,587,32,744,577,21,733,1469,1423,50.8,1,216,4,0,4,532,6026,5026,7026,0.9784240150093809,0.9061913696060038,0.9652908067542215,1.0703564727954973,0.013133208255159401,-0.1641651031894935,3.0669829701255598,2.5617332948477416,-3.1000000000000014,-0.08000000000000185,5.18,13.129999999999995,0.06000000000000005,-0.5,0.2200000000000002,-8.940000000000005,4.569999999999997,-2.3000000000000043,-0.8500000000000014,-7.0,0.4,0.2,0.4,2.6,3.4,0.6,0.2,0.2,3.6,3.2,0.2,0.2,0.6,0.8,0.4
2021-03-27,National League,HCFG,GSHC,0,1,Christian Dubé,Patrick Emond,,3,96.22,3.78,0.0,60.0,3,2,1,48.2,3,1,2,2,0.0,4.0,0,0,0,4,75.0,7.8,0,1,-1,33.33,94.59,127.93,29,83,25.89,16,57,21.92,9,37,19.57,7,0,13,19,1,26,23,24,48.94,0,5,0,0,0,10,0.0,20211105000009,1,1,0,0,1,1,5,1,1,0,0,0,HC Fribourg-Gottéron,2022/2023,52,81,1.56,3161.8,38.38,31.6,30.02,155,136,19,145,122,23,2.75,2.32,2642.5,102,95,7,2.32,2.16,296.4,190,26.84,51,3,48,10.33,222.9,133,75.19,1,33,-32,8.88,9,9,1,5,8.78,90.7,99.48,3052,57.92,2702,51.27,53.04,2256,42.81,1874,35.56,54.62,1661,31.52,1321,25.07,55.7,109.19,549,46,796,523,30,828,1429,1380,50.87,1,149,3,0,2,353,8021,8922,7119,Genève-Servette HC,GSHC,2022/2023,52,101,1.94,3159.5,41.56,33.85,24.58,185,140,45,168,134,34,3.19,2.54,2605.5,129,97,32,2.97,2.23,258.5,167,28.14,47,4,43,10.91,295.5,178,79.21,6,37,-31,7.51,14,4,3,2,11.0,90.73,101.74,2825,53.65,2716,51.58,50.98,2093,39.75,1962,37.26,51.62,1541,29.26,1450,27.54,51.52,105.22,525,27,732,476,36,754,1456,1322,52.41,3,212,5,0,5,549,6613,6264,6962,1.0178236397748595,0.8930581613508444,1.2148217636022514,0.9193245778611634,-0.1969981238273919,-0.026266416510319024,2.740294414778468,3.1772261509597346,2.259999999999998,-2.469999999999999,-1.3000000000000007,-4.019999999999996,-0.43999999999999995,-0.2200000000000002,-0.3799999999999999,-3.1799999999999997,5.440000000000001,4.270000000000003,-0.30999999999999517,-25.0,0.4,0.2,0.4,4.2,3.0,0.4,0.2,0.4,3.0,2.2,0.2,0.2,0.6,0.2,0.4
2021-03-27,National League,EVZ,ZSC,0,1,Dan Tangnes,Rikard Grönborg,,3,89.61,10.39,0.0,60.0,6,2,4,41.0,2,2,0,7,57.14,13.2,4,0,4,3,100.0,5.8,0,0,0,13.95,94.74,108.69,71,61,53.79,63,46,57.8,43,38,53.09,18,2,8,8,0,15,38,21,64.41,0,6,0,0,0,12,0.0,20211105000012,1,1,1,1,0,0,8,1,1,1,1,1,EV Zug,2022/2023,52,82,1.58,3159.5,28.76,33.7,37.53,165,154,11,153,143,10,2.91,2.72,2658.6,111,109,2,2.51,2.46,279.4,183,26.23,48,4,44,10.31,221.5,143,72.73,2,39,-37,10.56,8,9,4,2,9.16,89.43,98.59,3283,62.35,2569,48.79,56.1,2333,44.3,1857,35.27,55.68,1678,31.87,1362,25.86,55.2,111.13,598,57,950,462,33,712,1466,1367,51.75,0,158,2,0,2,366,6984,6975,6992,ZSC Lions,ZSC,2022/2023,52,88,1.69,3160.7,34.86,38.38,26.76,150,123,27,138,121,17,2.62,2.3,2549.7,101,81,20,2.38,1.91,299.2,180,22.22,40,2,38,8.02,311.8,195,80.0,4,39,-35,7.5,7,1,5,1,8.53,92.2,100.74,3035,57.61,2898,55.01,51.15,2216,42.07,2081,39.5,51.57,1624,30.83,1553,29.48,51.12,112.63,553,39,819,497,31,817,1580,1450,52.15,1,223,4,1,2,516,9099,11459,6738,1.0834896810506567,1.0112570356472796,0.9849906191369606,0.8076923076923077,0.09849906191369606,0.20356472795497194,2.562869822485207,2.917087602828691,1.0400000000000027,-3.620000000000001,4.010000000000002,-7.269999999999996,0.29000000000000004,0.4200000000000004,-0.10999999999999988,-6.099999999999998,10.77,4.740000000000002,-6.219999999999999,-18.0,0.8,0.2,0.0,4.8,2.6,0.0,0.4,0.6,2.8,3.6,0.4,0.4,0.2,0.2,0.4
